OBJECTID,ZIPCODE,PO_NAME,POPULATION,AREA,COUNTY,CountBusinesses,Shape_Length,Shape_Area
82,11203,Brooklyn,78060.000000000000000,60644835.456156499683857,Kings,1,32799.750866897469677,60644835.556980721652508
83,11236,Brooklyn,94480.000000000000000,96373991.620104596018791,Kings,4,44836.914604948724445,96373991.944678649306297
84,11220,Brooklyn,97257.000000000000000,47453785.790637396275997,Kings,1,39988.533061827693018,47453786.371842764317989
85,11234,Brooklyn,85853.000000000000000,206201040.087972998619080,Kings,1,115169.886002719140379,206201039.649562209844589
86,11693,Far Rockaway,11052.000000000000000,46471727.170979097485542,Queens,1,87508.713819385055103,46471726.885152354836464
87,11228,Brooklyn,43080.000000000000000,43893024.731722399592400,Kings,1,29618.435469153933809,43893024.546837076544762
88,11214,Brooklyn,89061.000000000000000,61096539.389146499335766,Kings,1,52861.753065207412874,61096539.482366293668747
89,11223,Brooklyn,79864.000000000000000,58702923.466299600899220,Kings,2,31423.868072060027771,58702922.843502163887024
90,11693,Far Rockaway,11052.000000000000000,1527599.164469349896535,Queens,1,6886.547708690678519,1527599.098229614086449
91,11235,Brooklyn,76130.000000000000000,69053803.031713396310806,Kings,1,61354.730193215968029,69053803.477959439158440
92,11693,Far Rockaway,11052.000000000000000,12270916.530537899583578,Queens,1,19051.644856624905515,12270916.300876330584288
93,10306,Staten Island,55602.000000000000000,174102872.048660010099411,Richmond,1,83568.786494353000307,174102872.695879459381104
94,11224,Brooklyn,49600.000000000000000,46701983.753639101982117,Kings,1,41729.930548193158756,46701983.692273564636707
95,11372,Jackson Heights,66636.000000000000000,20163283.874320201575756,Queens,3,20624.692904387422459,20163283.949378352612257
96,11375,Forest Hills,68555.000000000000000,55587771.834486499428749,Queens,1,36277.075336267829698,55587771.480624780058861
97,11374,Rego Park,42755.000000000000000,25203558.581022199243307,Queens,1,26323.990181806933833,25203558.801356524229050
98,11435,Jamaica,53404.000000000000000,42105899.156506203114986,Queens,1,34403.789953680337931,42105899.964238345623016
99,11418,Richmond Hill,36607.000000000000000,32025130.922791201621294,Queens,1,31854.380185203346628,32025130.903685905039310
100,11221,Brooklyn,80232.000000000000000,38580480.434307500720024,Kings,17,30947.536465115743340,38580479.167163208127022
101,11421,Woodhaven,39014.000000000000000,24314441.763908199965954,Queens,1,22224.355784163228236,24314441.489288449287415
102,11419,South Richmond Hill,47054.000000000000000,31278858.102521598339081,Queens,4,23068.837573489519855,31278857.772361025214195
103,11216,Brooklyn,53862.000000000000000,26478229.263443298637867,Kings,6,26472.769760073089856,26478229.210140276700258
104,11233,Brooklyn,66737.000000000000000,37871693.682254299521446,Kings,3,30234.158630291291047,37871693.828480541706085
105,10019,New York,41966.000000000000000,18828383.116798300296068,New York,12,24983.439405971497763,18828383.434218008071184
106,10022,New York,33135.000000000000000,12728335.623047199100256,New York,5,14672.454115550686765,12728335.567900793626904
107,10065,New York,33459.000000000000000,11442579.547371400520205,New York,2,15541.743068412379216,11442580.210099222138524
108,11211,Brooklyn,60861.000000000000000,40470881.671283401548862,Kings,39,37891.733600080813630,40470881.746364109218121
109,11373,Elmhurst,101282.000000000000000,42654860.337207503616810,Queens,2,28999.868347791521956,42654860.090428315103054
110,10123,New York,0.000000000000000,16138.536965290000808,New York,1,662.038822839853424,16138.510487653957171
111,10035,New York,34884.000000000000000,23494871.464773200452328,New York,2,25009.755833169852849,23494871.201529636979103
